OBJECTID,Boro,Type,Provider,Lat,Long_,Location_T,City
1965,MN,Free,BETA LinkNYC - Citybridge,40.825091,-73.951659,Outdoor Kiosk,New York
1966,MN,Free,BETA LinkNYC - Citybridge,40.825508,-73.950907,Outdoor Kiosk,New York
1967,MN,Free,BETA LinkNYC - Citybridge,40.82609,-73.950482,Outdoor Kiosk,New York
1968,BX,Free,BETA LinkNYC - Citybridge,40.867627,-73.89873,Outdoor Kiosk,Bronx
1969,BX,Free,BETA LinkNYC - Citybridge,40.867828,-73.899576,Outdoor Kiosk,Bronx
1970,BX,Free,BETA LinkNYC - Citybridge,40.862314,-73.900316,Outdoor Kiosk,Bronx
1971,BX,Free,BETA LinkNYC - Citybridge,40.86063,-73.902369,Outdoor Kiosk,Bronx
1972,BX,Free,BETA LinkNYC - Citybridge,40.831467,-73.921747,Outdoor Kiosk,Bronx
1973,BX,Free,BETA LinkNYC - Citybridge,40.853042,-73.905553,Outdoor Kiosk,Bronx
1974,BX,Free,BETA LinkNYC - Citybridge,40.853157,-73.905403,Outdoor Kiosk,Bronx
1975,BX,Free,BETA LinkNYC - Citybridge,40.818942,-73.92837,Outdoor Kiosk,Bronx
1976,QU,Free,BETA LinkNYC - Citybridge,40.706357,-73.792205,Outdoor Kiosk,Queens
1977,QU,Free,BETA LinkNYC - Citybridge,40.706507,-73.792368,Outdoor Kiosk,Queens
1978,QU,Free,BETA LinkNYC - Citybridge,40.715758,-73.833513,Outdoor Kiosk,Queens
1979,MN,Free,BETA LinkNYC - Citybridge,40.827321,-73.950028,Outdoor Kiosk,New York
1980,MN,Free,BETA LinkNYC - Citybridge,40.827932,-73.949581,Outdoor Kiosk,New York
1981,MN,Free,BETA LinkNYC - Citybridge,40.82758,-73.949288,Outdoor Kiosk,New York
1982,MN,Free,BETA LinkNYC - Citybridge,40.828097,-73.949017,Outdoor Kiosk,New York
1983,MN,Free,BETA LinkNYC - Citybridge,40.828543,-73.949135,Outdoor Kiosk,New York
1984,MN,Free,BETA LinkNYC - Citybridge,40.829037,-73.948869,Outdoor Kiosk,New York
1985,MN,Free,BETA LinkNYC - Citybridge,40.829675,-73.947866,Outdoor Kiosk,New York
1986,MN,Free,BETA LinkNYC - Citybridge,40.830208,-73.947909,Outdoor Kiosk,New York
1987,MN,Free,BETA LinkNYC - Citybridge,40.830586,-73.947195,Outdoor Kiosk,New York
1988,MN,Free,BETA LinkNYC - Citybridge,40.830876,-73.946986,Outdoor Kiosk,New York
1989,MN,Free,BETA LinkNYC - Citybridge,40.836501,-73.942787,Outdoor Kiosk,New York
1990,MN,Free,BETA LinkNYC - Citybridge,40.718036,-74.001021,Outdoor Kiosk,New York
1991,MN,Free,BETA LinkNYC - Citybridge,40.717828,-74.000962,Outdoor Kiosk,New York
1992,MN,Free,BETA LinkNYC - Citybridge,40.717484,-74.001523,Outdoor Kiosk,New York
1993,MN,Free,BETA LinkNYC - Citybridge,40.717243,-74.001743,Outdoor Kiosk,New York
1994,MN,Free,BETA LinkNYC - Citybridge,40.716033,-74.00257,Outdoor Kiosk,New York
1995,MN,Free,BETA LinkNYC - Citybridge,40.731157,-73.985928,Outdoor Kiosk,New York
1996,MN,Free,BETA LinkNYC - Citybridge,40.73108,-73.985739,Outdoor Kiosk,New York
1997,MN,Free,BETA LinkNYC - Citybridge,40.730539,-73.986394,Outdoor Kiosk,New York
1998,MN,Free,BETA LinkNYC - Citybridge,40.730881,-73.985882,Outdoor Kiosk,New York
1999,MN,Free,BETA LinkNYC - Citybridge,40.730249,-73.986348,Outdoor Kiosk,New York
2000,MN,Free,BETA LinkNYC - Citybridge,40.72848,-73.987875,Outdoor Kiosk,New York
2001,MN,Free,BETA LinkNYC - Citybridge,40.72824,-73.987837,Outdoor Kiosk,New York
2002,MN,Free,BETA LinkNYC - Citybridge,40.728027,-73.987965,Outdoor Kiosk,New York
2003,MN,Free,BETA LinkNYC - Citybridge,40.72746,-73.988372,Outdoor Kiosk,New York
2004,MN,Free,BETA LinkNYC - Citybridge,40.726049,-73.989403,Outdoor Kiosk,New York
2005,MN,Free,BETA LinkNYC - Citybridge,40.725641,-73.989698,Outdoor Kiosk,New York
2006,MN,Free,BETA LinkNYC - Citybridge,40.721716,-73.993343,Outdoor Kiosk,New York
2007,MN,Free,BETA LinkNYC - Citybridge,40.720597,-73.994078,Outdoor Kiosk,New York
2008,MN,Free,BETA LinkNYC - Citybridge,40.719905,-73.994058,Outdoor Kiosk,New York
2009,MN,Free,BETA LinkNYC - Citybridge,40.803579,-73.966917,Outdoor Kiosk,New York
2010,MN,Free,BETA LinkNYC - Citybridge,40.804835,-73.965995,Outdoor Kiosk,New York
