OBJECTID,Boro,Type,Provider,Lat,Long_,Location_T,City
1001,SI,Limited Free,Time Warner Cable,40.572313,-74.086013,Outdoor,Staten Island
1002,SI,Limited Free,Time Warner Cable,40.573338,-74.084406,Outdoor,Staten Island
1003,SI,Limited Free,Time Warner Cable,40.575083,-74.081683,Outdoor,Staten Island
1004,SI,Limited Free,Time Warner Cable,40.575748,-74.080677,Outdoor,Staten Island
1005,SI,Limited Free,Time Warner Cable,40.576236,-74.079987,Outdoor,Staten Island
1006,SI,Limited Free,Time Warner Cable,40.576483,-74.079624,Outdoor,Staten Island
1007,SI,Limited Free,Time Warner Cable,40.577222,-74.078581,Outdoor,Staten Island
1008,SI,Limited Free,Time Warner Cable,40.577772,-74.077993,Outdoor,Staten Island
1062,MN,Free,Harlem,40.80409,-73.948564,Outdoor,New York
1009,SI,Limited Free,Time Warner Cable,40.578631,-74.076801,Outdoor,Staten Island
1010,SI,Limited Free,Time Warner Cable,40.579581,-74.076359,Outdoor,Staten Island
1011,SI,Limited Free,Time Warner Cable,40.579986,-74.075899,Outdoor,Staten Island
1012,QU,Limited Free,Time Warner Cable,40.710818,-73.835528,Indoor,Queens
1013,QU,Limited Free,Time Warner Cable,40.709773,-73.835599,Outdoor,Queens
1014,QU,Limited Free,Time Warner Cable,40.710688,-73.835515,Outdoor,Queens
1015,BK,Limited Free,Time Warner Cable,40.639278,-74.032091,Outdoor,Brooklyn
1016,BK,Limited Free,Time Warner Cable,40.639231,-74.031933,Outdoor,Brooklyn
1017,BK,Limited Free,Time Warner Cable,40.639292,-74.031896,Outdoor,Brooklyn
1018,BK,Limited Free,Cablevision,40.658662,-73.88777,Outdoor,Bronx
1019,BK,Limited Free,Cablevision,40.658148,-73.88744,Outdoor,Bronx
1020,BK,Limited Free,Cablevision,40.658385,-73.887583,Outdoor,Brooklyn
1021,BX,Limited Free,Cablevision,40.825696,-73.927311,Outdoor,Bronx
1022,BX,Limited Free,Cablevision,40.825815,-73.927731,Outdoor,Bronx
1023,BX,Limited Free,Cablevision,40.825947,-73.928134,Outdoor,Bronx
1024,BX,Limited Free,Cablevision,40.826103,-73.928537,Outdoor,Bronx
1025,BX,Limited Free,Cablevision,40.826378,-73.929249,Outdoor,Bronx
1026,BX,Limited Free,Cablevision,40.826567,-73.926762,Outdoor,Bronx
1027,BX,Limited Free,Cablevision,40.82707,-73.926461,Outdoor,Bronx
1028,BX,Limited Free,Cablevision,40.827868,-73.926903,Outdoor,Bronx
1029,BX,Limited Free,Cablevision,40.828149,-73.927457,Outdoor,Bronx
1030,BX,Limited Free,Cablevision,40.827902,-73.928356,Outdoor,Bronx
1031,BX,Limited Free,Cablevision,40.827799,-73.928565,Outdoor,Bronx
1032,BX,Limited Free,Cablevision,40.827552,-73.929158,Outdoor,Bronx
1033,BK,Limited Free,Cablevision,40.57776,-73.94556,Outdoor,Brooklyn
1034,BK,Limited Free,Cablevision,40.57798,-73.94355,Outdoor,Brooklyn
1035,BK,Limited Free,Cablevision,40.57696,-73.94359,Outdoor,Brooklyn
1036,BK,Limited Free,Cablevision,40.57687,-73.94459,Outdoor,Brooklyn
1037,BK,Limited Free,Cablevision,40.57817,-73.94182,Outdoor,Brooklyn
1038,BK,Limited Free,Cablevision,40.57829,-73.94091,Outdoor,Brooklyn
1039,BK,Limited Free,Cablevision,40.57843,-73.93907,Outdoor,Brooklyn
1040,BK,Limited Free,Cablevision,40.57838,-73.93992,Outdoor,Brooklyn
1041,BK,Limited Free,Cablevision,40.57811,-73.94273,Outdoor,Brooklyn
1042,BK,Limited Free,Cablevision,40.57787,-73.9446,Outdoor,Brooklyn
1043,BK,Limited Free,Cablevision,40.57622,-73.94552,Outdoor,Brooklyn
1044,BK,Limited Free,Cablevision,40.5761,-73.94698,Outdoor,Brooklyn
1045,BK,Limited Free,Cablevision,40.57696,-73.94359,Outdoor,Brooklyn
1046,BK,Limited Free,Cablevision,40.57696,-73.94359,Outdoor,Brooklyn
1047,BK,Limited Free,Cablevision,40.57687,-73.94459,Outdoor,Brooklyn
1048,BK,Limited Free,Cablevision,40.70254,-73.923816,Outdoor,Bronx
1049,BK,Limited Free,Cablevision,40.703041,-73.923628,Outdoor,Bronx
1050,MN,Free,Chelsea,40.7431196183,-74.0083050731,Outdoor,New York
1051,MN,Free,Chelsea,40.7415832891,-74.0047109131,Outdoor,New York
1052,MN,Free,Chelsea,40.7410467844,-74.001803398,Outdoor,New York
1053,MN,Free,Chelsea,40.7436317201,-74.0059179066,Outdoor,New York
1054,MN,Free,Chelsea,40.7421021446,-74.0042110753,Outdoor,New York
1055,MN,Free,Harlem,40.810014,-73.937553,Outdoor,New York
1056,MN,Free,Harlem,40.795988,-73.947426,Outdoor,New York
1057,MN,Free,Harlem,40.808227,-73.952457,Outdoor,New York
1058,MN,Free,Harlem,40.807543,-73.952793,Outdoor,New York
1059,MN,Free,Harlem,40.811042,-73.941404,Outdoor,New York
1060,MN,Free,Harlem,40.798959,-73.952396,Outdoor,New York
1061,MN,Free,Harlem,40.805097,-73.947042,Outdoor,New York
1063,MN,Free,Harlem,40.809888,-73.939012,Outdoor,New York
1064,MN,Free,Harlem,40.808338,-73.948989,Outdoor,New York
1065,MN,Free,Harlem,40.814105,-73.940443,Outdoor,New York
1066,MN,Free,Harlem,40.815132,-73.939685,Outdoor,New York
1067,MN,Free,Harlem,40.814563,-73.94003,Outdoor,New York
1068,MN,Free,Harlem,40.797467,-73.950717,Outdoor,New York
1069,MN,Free,Harlem,40.799703,-73.950994,Outdoor,New York
1070,MN,Free,Harlem,40.799435,-73.950994,Outdoor,New York
1071,MN,Free,Harlem,40.803786,-73.946159,Outdoor,New York
1073,BK,Free,Downtown Brooklyn,40.691677,-73.988841,Outdoor,Brooklyn
1074,BK,Free,Downtown Brooklyn,40.691569,-73.988711,Outdoor,Brooklyn
1075,BK,Free,Downtown Brooklyn,40.690137,-73.983226,Outdoor,Brooklyn
1076,BK,Free,Downtown Brooklyn,40.690072,-73.982325,Outdoor,Brooklyn
1077,MN,Free,Transit Wireless,40.779492,-73.955589,Subway Station,New York
1078,BX,Free,Transit Wireless,40.810476,-73.926138,Subway Station,Bronx
1079,BX,Free,Transit Wireless,40.813224,-73.929849,Subway Station,Bronx
1080,BX,Free,Transit Wireless,40.81841,-73.926718,Subway Station,Bronx
1081,BK,Free,Downtown Brooklyn,40.690233,-73.981328,Outdoor,Brooklyn
1082,BK,Free,Downtown Brooklyn,40.689967,-73.981214,Outdoor,Brooklyn
1083,BK,Free,Downtown Brooklyn,40.689989,-73.980928,Outdoor,Brooklyn
1084,BK,Free,Downtown Brooklyn,40.690622,-73.981414,Outdoor,Brooklyn
1085,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1086,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1087,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1088,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1089,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1090,BX,Free,Transit Wireless,40.818375,-73.927351,Subway Station,Bronx
1091,MN,Free,Transit Wireless,40.737826,-74.000201,Subway Station,New York
1207,MN,Free,NYPL,40.7289209029,-73.9877837339,Library,New York
1092,MN,Free,Transit Wireless,40.740893,-74.00169,Subway Station,New York
1093,MN,Free,Transit Wireless,40.737335,-73.996786,Subway Station,New York
1094,MN,Free,Transit Wireless,40.738228,-73.996209,Subway Station,New York
1095,MN,Free,Transit Wireless,40.74104,-73.997871,Subway Station,New York
1096,MN,Free,Transit Wireless,40.744081,-73.995657,Subway Station,New York
1097,MN,Free,Transit Wireless,40.745906,-73.998041,Subway Station,New York
1098,MN,Free,Transit Wireless,40.741303,-73.989344,Subway Station,New York
1099,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1100,BK,Free,Downtown Brooklyn,40.690883,-73.989635,Outdoor,Brooklyn
1101,BK,Free,Downtown Brooklyn,40.689985,-73.991995,Outdoor,Brooklyn
1102,BK,Free,Downtown Brooklyn,40.689906,-73.991944,Outdoor,Brooklyn
1103,MN,Free,Transit Wireless,40.742878,-73.992821,Subway Station,New York
1104,MN,Free,Transit Wireless,40.739864,-73.986599,Subway Station,New York
1105,MN,Free,Transit Wireless,40.747215,-73.993365,Subway Station,New York
1106,MN,Free,Transit Wireless,40.745494,-73.988691,Subway Station,New York
1107,BK,Free,Downtown Brooklyn,40.689967,-73.992083,Outdoor,Brooklyn
1108,BK,Free,Downtown Brooklyn,40.689997,-73.992,Outdoor,Brooklyn
1109,BK,Free,Downtown Brooklyn,40.690022,-73.991897,Outdoor,Brooklyn
1110,BK,Free,Downtown Brooklyn,40.695578,-73.98397,Outdoor,Brooklyn
1111,BK,Free,Downtown Brooklyn,40.689924,-73.988117,Outdoor,Brooklyn
1112,BK,Free,Downtown Brooklyn,40.689924,-73.988117,Outdoor,Brooklyn
1113,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
1114,BK,Free,Downtown Brooklyn,40.690296,-73.987846,Outdoor,Brooklyn
1115,BK,Free,Downtown Brooklyn,40.689319,-73.987162,Outdoor,Brooklyn
1116,MN,Free,Transit Wireless,40.74307,-73.984264,Subway Station,New York
1117,MN,Free,Transit Wireless,40.746081,-73.982076,Subway Station,New York
1118,MN,Free,Transit Wireless,40.749567,-73.98795,Subway Station,New York
1208,MN,Free,NYPL,40.8478700412,-73.9338659131,Library,New York
1119,MN,Free,Transit Wireless,40.749719,-73.987823,Subway Station,New York
1120,MN,Free,Transit Wireless,40.754222,-73.984569,Subway Station,New York
1121,MN,Free,Transit Wireless,40.757308,-73.989735,Subway Station,New York
1122,MN,Free,Transit Wireless,40.758663,-73.981329,Subway Station,New York
1123,MN,Free,Transit Wireless,40.759901,-73.984139,Subway Station,New York
1124,MN,Free,Transit Wireless,40.762456,-73.985984,Subway Station,New York
1125,MN,Free,Transit Wireless,40.761728,-73.983849,Subway Station,New York
1126,MN,Free,Transit Wireless,40.763971,-73.977451,Subway Station,New York
1127,MN,Free,NYPL,40.7959199908,-73.9678485166,Library,New York
1128,BX,Free,NYPL,40.8476919036,-73.786366589,Library,Bronx
1129,BK,Free,BPL,40.6422084532,-73.8995244212,Library,Brooklyn
1130,BK,Free,BPL,40.5869999561,-73.9554283575,Library,Brooklyn
1131,BX,Free,NYPL,40.9004399098,-73.867942,Library,Bronx
1132,BK,Free,BPL,40.6752551911,-74.0103512916,Library,Brooklyn
1133,BK,Free,BPL,40.6753708519,-73.9485661367,Library,Brooklyn
1134,MN,Free,Transit Wireless,40.764664,-73.980658,Subway Station,New York
1135,BK,Free,BPL,40.6834588325,-73.9785414755,Library,Brooklyn
1136,QU,Free,QPL,40.7451505182,-73.7148377572,Library,Glen Oaks
1137,BX,Free,NYPL,40.874379814,-73.8783843503,Library,Bronx
1138,QU,Free,QPL,40.593146783,-73.7840400286,Library,Arverne
1139,MN,Free,NYPL,40.834515209,-73.9396745829,Library,New York
1140,BK,Free,BPL,40.5913570544,-73.92396467,Library,Brooklyn
1141,BK,Free,BPL,40.7260506623,-73.9506902935,Library,Brooklyn
1142,BX,Free,NYPL,40.9037227771,-73.9027725428,Library,Bronx
1143,BX,Free,NYPL,40.8446740907,-73.8830446904,Library,Bronx
1144,BX,Free,NYPL,40.8115962129,-73.9243663402,Library,Bronx
1145,QU,Free,QPL,40.7070105556,-73.7537966712,Library,South Hollis
1146,MN,Free,NYPL,40.7706525435,-73.951341694,Library,New York
1147,QU,Free,QPL,40.6945465785,-73.8614464594,Library,Woodhaven
1148,MN,Free,NYPL,40.7621860177,-73.9693817047,Library,New York
1149,MN,Free,NYPL,40.7273073125,-73.9804076673,Library,New York
1150,MN,Free,NYPL,40.8060908156,-73.9647620603,Library,New York
1151,QU,Free,QPL,40.7723828899,-73.9287188126,Library,Long Island City
1152,BK,Free,BPL,40.6848100477,-73.915132416,Library,Brooklyn
1153,BX,Free,NYPL,40.8705019246,-73.8286579311,Library,Bronx
1154,SI,Free,NYPL,40.5095311239,-74.2441067083,Library,Staten Island
1155,MN,Free,NYPL,40.8256723738,-73.9480324189,Library,New York
1156,BX,Free,NYPL,40.8803222773,-73.9079833715,Library,Bronx
1157,QU,Free,QPL,40.7198855543,-73.7390438189,Library,Queens Village
1158,MN,Free,NYPL,40.802979882,-73.9535307443,Library,New York
1159,BX,Free,NYPL,40.8337362974,-73.8583552177,Library,Bronx
1160,BK,Free,BPL,40.6344746052,-73.8893046486,Library,Brooklyn
1161,QU,Free,QPL,40.7259184856,-73.8207190696,Library,Flushing
1162,MN,Free,NYPL,40.7859597986,-73.9518056716,Library,New York
1163,MN,Free,NYPL,40.7649346184,-73.9912208178,Library,New York
1164,SI,Free,NYPL,40.6262376099,-74.0778460903,Library,Staten Island
1165,SI,Free,NYPL,40.590391336,-74.1011372894,Library,Staten Island
1166,QU,Free,QPL,40.768225432,-73.7382294408,Library,Little Neck
1167,MN,Free,NYPL,40.7518915617,-73.9816985108,Library,New York
1680,BX,Free,BETA LinkNYC - Citybridge,40.860215,-73.89306,Outdoor Kiosk,Bronx
1681,BX,Free,BETA LinkNYC - Citybridge,40.862644,-73.903244,Outdoor Kiosk,Bronx
1682,BX,Free,BETA LinkNYC - Citybridge,40.861349,-73.898023,Outdoor Kiosk,Bronx
1683,BX,Free,BETA LinkNYC - Citybridge,40.861655,-73.898581,Outdoor Kiosk,Bronx
1684,BX,Free,BETA LinkNYC - Citybridge,40.859153,-73.898553,Outdoor Kiosk,Bronx
1685,MN,Free,BETA LinkNYC - Citybridge,40.765828,-73.983364,Outdoor Kiosk,New York
1686,MN,Free,BETA LinkNYC - Citybridge,40.766175,-73.98199,Outdoor Kiosk,New York
1687,MN,Free,BETA LinkNYC - Citybridge,40.746624,-73.988399,Outdoor Kiosk,New York
1688,MN,Free,BETA LinkNYC - Citybridge,40.749663,-73.988006,Outdoor Kiosk,New York
1689,MN,Free,BETA LinkNYC - Citybridge,40.754494,-73.986941,Outdoor Kiosk,New York
1690,MN,Free,BETA LinkNYC - Citybridge,40.754846,-73.986363,Outdoor Kiosk,New York
1691,MN,Free,BETA LinkNYC - Citybridge,40.760413,-73.984541,Outdoor Kiosk,New York
1692,MN,Free,BETA LinkNYC - Citybridge,40.760269,-73.984867,Outdoor Kiosk,New York
1693,MN,Free,BETA LinkNYC - Citybridge,40.760646,-73.98442,Outdoor Kiosk,New York
1694,MN,Free,BETA LinkNYC - Citybridge,40.760622,-73.984234,Outdoor Kiosk,New York
1695,MN,Free,BETA LinkNYC - Citybridge,40.76072,-73.984642,Outdoor Kiosk,New York
1696,MN,Free,BETA LinkNYC - Citybridge,40.760883,-73.984278,Outdoor Kiosk,New York
1697,MN,Free,BETA LinkNYC - Citybridge,40.763981,-73.982638,Outdoor Kiosk,New York
1698,MN,Free,BETA LinkNYC - Citybridge,40.764127,-73.98231,Outdoor Kiosk,New York
1699,MN,Free,BETA LinkNYC - Citybridge,40.764676,-73.982385,Outdoor Kiosk,New York
1700,MN,Free,BETA LinkNYC - Citybridge,40.750087,-73.987781,Outdoor Kiosk,New York
1701,MN,Free,BETA LinkNYC - Citybridge,40.733107,-73.987162,Outdoor Kiosk,New York
1702,MN,Free,BETA LinkNYC - Citybridge,40.733694,-73.987044,Outdoor Kiosk,New York
1703,MN,Free,BETA LinkNYC - Citybridge,40.73347,-73.987384,Outdoor Kiosk,New York
1704,MN,Free,BETA LinkNYC - Citybridge,40.733794,-73.986675,Outdoor Kiosk,New York
1705,MN,Free,BETA LinkNYC - Citybridge,40.734499,-73.98618,Outdoor Kiosk,New York
1706,MN,Free,BETA LinkNYC - Citybridge,40.742625,-73.980628,Outdoor Kiosk,New York
1707,MN,Free,BETA LinkNYC - Citybridge,40.748387,-73.976353,Outdoor Kiosk,New York
1708,MN,Free,BETA LinkNYC - Citybridge,40.74829,-73.976516,Outdoor Kiosk,New York
1709,MN,Free,BETA LinkNYC - Citybridge,40.758276,-73.969132,Outdoor Kiosk,New York
1710,MN,Free,BETA LinkNYC - Citybridge,40.739531,-73.982889,Outdoor Kiosk,New York
1711,MN,Free,BETA LinkNYC - Citybridge,40.734772,-73.986265,Outdoor Kiosk,New York
1712,MN,Free,BETA LinkNYC - Citybridge,40.73535,-73.98585,Outdoor Kiosk,New York
1713,MN,Free,BETA LinkNYC - Citybridge,40.735626,-73.985322,Outdoor Kiosk,New York
1714,MN,Free,BETA LinkNYC - Citybridge,40.750729,-73.974079,Outdoor Kiosk,New York
1715,MN,Free,BETA LinkNYC - Citybridge,40.760207,-73.967177,Outdoor Kiosk,New York
1716,MN,Free,BETA LinkNYC - Citybridge,40.736214,-73.9849,Outdoor Kiosk,New York
1717,MN,Free,BETA LinkNYC - Citybridge,40.735839,-73.985171,Outdoor Kiosk,New York
1718,MN,Free,BETA LinkNYC - Citybridge,40.736334,-73.985129,Outdoor Kiosk,New York
1719,MN,Free,BETA LinkNYC - Citybridge,40.736427,-73.984751,Outdoor Kiosk,New York
1720,MN,Free,BETA LinkNYC - Citybridge,40.736789,-73.984486,Outdoor Kiosk,New York
1721,MN,Free,BETA LinkNYC - Citybridge,40.740041,-73.982424,Outdoor Kiosk,New York
1722,MN,Free,BETA LinkNYC - Citybridge,40.739964,-73.982043,Outdoor Kiosk,New York
1723,MN,Free,BETA LinkNYC - Citybridge,40.740246,-73.982383,Outdoor Kiosk,New York
1724,MN,Free,BETA LinkNYC - Citybridge,40.740573,-73.981729,Outdoor Kiosk,New York
1725,MN,Free,BETA LinkNYC - Citybridge,40.740775,-73.981576,Outdoor Kiosk,New York
1726,MN,Free,BETA LinkNYC - Citybridge,40.741169,-73.981297,Outdoor Kiosk,New York
1727,MN,Free,BETA LinkNYC - Citybridge,40.742007,-73.98068,Outdoor Kiosk,New York
1728,MN,Free,BETA LinkNYC - Citybridge,40.743093,-73.979813,Outdoor Kiosk,New York
1729,MN,Free,BETA LinkNYC - Citybridge,40.743954,-73.979652,Outdoor Kiosk,New York
1730,MN,Free,BETA LinkNYC - Citybridge,40.743876,-73.979316,Outdoor Kiosk,New York
1731,MN,Free,BETA LinkNYC - Citybridge,40.745116,-73.978416,Outdoor Kiosk,New York
1732,MN,Free,BETA LinkNYC - Citybridge,40.746449,-73.977444,Outdoor Kiosk,New York
1733,MN,Free,BETA LinkNYC - Citybridge,40.746542,-73.977695,Outdoor Kiosk,New York
1734,MN,Free,BETA LinkNYC - Citybridge,40.747672,-73.976965,Outdoor Kiosk,New York
1735,MN,Free,BETA LinkNYC - Citybridge,40.74779,-73.976782,Outdoor Kiosk,New York
1736,MN,Free,BETA LinkNYC - Citybridge,40.748289,-73.976105,Outdoor Kiosk,New York
1737,MN,Free,BETA LinkNYC - Citybridge,40.748822,-73.976034,Outdoor Kiosk,New York
1738,MN,Free,BETA LinkNYC - Citybridge,40.748732,-73.97536,Outdoor Kiosk,New York
1739,MN,Free,BETA LinkNYC - Citybridge,40.748914,-73.975648,Outdoor Kiosk,New York
1740,MN,Free,BETA LinkNYC - Citybridge,40.750156,-73.974741,Outdoor Kiosk,New York
1741,MN,Free,BETA LinkNYC - Citybridge,40.750389,-73.974858,Outdoor Kiosk,New York
1742,MN,Free,BETA LinkNYC - Citybridge,40.75096,-73.974468,Outdoor Kiosk,New York
1743,MN,Free,BETA LinkNYC - Citybridge,40.751406,-73.974143,Outdoor Kiosk,New York
1343,BX,Free,Transit Wireless,40.839306,-73.9134,Subway Station,Bronx
1344,BX,Free,Transit Wireless,40.833773,-73.918438,Subway Station,Bronx
1345,BX,Free,Transit Wireless,40.820948,-73.890549,Subway Station,Bronx
1346,MN,Free,Transit Wireless,40.76266,-73.967258,Subway Station,New York
1347,BX,Free,Transit Wireless,40.85041,-73.905227,Subway Station,Bronx
1348,BX,Free,Transit Wireless,40.8459,-73.910136,Subway Station,Bronx
1349,BX,Free,Transit Wireless,40.827905,-73.925651,Subway Station,Bronx
1350,MN,Free,Transit Wireless,40.757552,-73.969055,Subway Station,New York
1351,MN,Free,Transit Wireless,40.762526,-73.967967,Subway Station,New York
1352,MN,Free,Transit Wireless,40.757107,-73.97192,Subway Station,New York
1353,BX,Free,Transit Wireless,40.861296,-73.897749,Subway Station,Bronx
1354,BX,Free,Transit Wireless,40.816109,-73.917757,Subway Station,Bronx
1355,BX,Free,Transit Wireless,40.856093,-73.900741,Subway Station,Bronx
1356,BK,Free,Transit Wireless,40.717304,-73.956872,Subway Station,Brooklyn
1357,BK,Free,Transit Wireless,40.714565,-73.944053,Subway Station,Brooklyn
1358,BK,Free,Transit Wireless,40.731352,-73.954449,Subway Station,Brooklyn
1359,BK,Free,Transit Wireless,40.724635,-73.951277,Subway Station,Brooklyn
1360,MN,Free,Transit Wireless,40.724329,-73.997702,Subway Station,New York
1361,MN,Free,Transit Wireless,40.733422,-74.002906,Subway Station,New York
1362,MN,Free,Transit Wireless,40.728251,-74.005367,Subway Station,New York
1363,MN,Free,Transit Wireless,40.730328,-73.992629,Subway Station,New York
1364,MN,Free,Transit Wireless,40.719527,-74.001775,Subway Station,New York
1365,MN,Free,Transit Wireless,40.718383,-74.00046,Subway Station,New York
1366,MN,Free,Transit Wireless,40.713282,-74.006978,Subway Station,New York
1367,MN,Free,Transit Wireless,40.72028,-73.993915,Subway Station,New York
1368,MN,Free,Transit Wireless,40.718092,-73.999892,Subway Station,New York
1369,MN,Free,Transit Wireless,40.732849,-73.986122,Subway Station,New York
1370,MN,Free,Transit Wireless,40.730953,-73.981628,Subway Station,New York
1371,MN,Free,Transit Wireless,40.732338,-74.000495,Subway Station,New York
1168,SI,Free,NYPL,40.637585616,-74.1311046151,Library,Staten Island
1169,BK,Free,BPL,40.6727060872,-73.8740334898,Library,Brooklyn
1170,QU,Free,QPL,40.7552001994,-73.9442238947,Library,Long Island City
1171,BK,Free,BPL,40.6974822489,-73.9122106175,Library,Brooklyn
1172,SI,Free,NYPL,40.5958181468,-74.0629804652,Library,Staten Island
1173,BK,Free,BPL,40.5952368631,-73.9605993696,Library,Brooklyn
1174,BK,Free,BPL,40.6292120977,-74.0118696682,Library,Brooklyn
1175,QU,Free,QPL,40.7470624208,-73.9442436779,Library,Long Island City
1176,BK,Free,BPL,40.6357412846,-73.9476200285,Library,Brooklyn
1177,QU,Free,QPL,40.786249136,-73.8460132784,Library,College Point
1178,QU,Free,QPL,40.7221469532,-73.8430149968,Library,Forest Hills
1179,SI,Free,NYPL,40.6417853679,-74.0766457652,Library,Staten Island
1180,BK,Free,BPL,40.651925081,-73.9582421825,Library,Brooklyn
1181,BX,Free,NYPL,40.8442926727,-73.8278899073,Library,Bronx
1182,BX,Free,NYPL,40.8827597562,-73.8939224115,Library,Bronx
1183,BX,Free,NYPL,40.8265919268,-73.9175826513,Library,Bronx
1184,QU,Free,QPL,40.7637503163,-73.8098334843,Library,Flushing
1185,BK,Free,BPL,40.6948167,-73.9283986674,Library,Brooklyn
1186,BX,Free,NYPL,40.8574218942,-73.9093163503,Library,Bronx
1187,BK,Free,BPL,40.5948615151,-73.941124923,Library,Brooklyn
1188,QU,Free,QPL,40.6599636231,-73.7399110132,Library,Rosedale
1189,BK,Free,BPL,40.6651593697,-73.8860705368,Library,Brooklyn
1190,BX,Free,NYPL,40.8312637226,-73.9017889765,Library,Bronx
1191,QU,Free,QPL,40.7374341379,-73.8616559293,Library,Corona
1192,BK,Free,BPL,40.60800935,-74.0033765451,Library,Brooklyn
1193,BX,Free,NYPL,40.8187093522,-73.8628899561,Library,Bronx
1194,BX,Free,NYPL,40.8548777848,-73.8641435801,Library,Bronx
1195,BK,Free,BPL,40.6486367052,-73.9303739197,Library,Brooklyn
1196,QU,Free,QPL,40.7501960856,-73.8850693247,Library,Jackson Heights
1197,MN,Free,NYPL,40.7445100483,-73.9959597161,Library,New York
1198,QU,Free,QPL,40.7273165603,-73.864502826,Library,Rego Park
1199,BK,Free,BPL,40.616308137,-74.0119885202,Library,Brooklyn
1200,BK,Free,BPL,40.6832135153,-73.9980190603,Library,Brooklyn
1201,QU,Free,QPL,40.7737521088,-73.796343186,Library,Flushing
1202,QU,Free,QPL,40.7577118988,-73.8682002957,Library,Corona
1203,QU,Free,QPL,40.7885314443,-73.8107165591,Library,Whitestone
1204,BK,Free,BPL,40.6532640727,-73.8859090476,Library,Brooklyn
1205,QU,Free,QPL,40.7100345578,-73.8194531201,Library,Briarwood
1206,BX,Free,NYPL,40.8460423249,-73.8983402556,Library,Bronx
1209,BK,Free,BPL,40.6487169711,-73.9767572777,Library,Brooklyn
1210,BK,Free,BPL,40.6944896983,-73.9777326329,Library,Brooklyn
1211,BK,Free,BPL,40.6258933072,-73.9603144928,Library,Brooklyn
1212,MN,Free,NYPL,40.7735069912,-73.9845468452,Library,New York
1213,BK,Free,BPL,40.680687107,-73.887239509,Library,Brooklyn
1214,QU,Free,QPL,40.6947772916,-73.7396425691,Library,Cambria Heights
1215,BK,Free,BPL,40.59054439,-73.9718084463,Library,Brooklyn
1216,QU,Free,QPL,40.7711255247,-73.8269158096,Library,Flushing
1217,QU,Free,QPL,40.7577740683,-73.8288846851,Library,Flushing
1218,QU,Free,QPL,40.7344862637,-73.7556816711,Library,Bayside
1219,MN,Free,NYPL,40.7568571776,-73.9726324717,Library,New York
1220,QU,Free,QPL,40.7330342416,-73.8098798843,Library,Flushing
1221,BX,Free,NYPL,40.8862733773,-73.9146700146,Library,Bronx
1222,QU,Free,QPL,40.676952728,-73.7456735613,Library,Laurelton
1223,BK,Free,BPL,40.6916230873,-73.951283498,Library,Brooklyn
1224,QU,Free,QPL,40.7415435746,-73.7822740472,Library,Fresh Meadows
1225,BK,Free,BPL,40.576107747,-73.9667748762,Library,Brooklyn
1226,QU,Free,QPL,40.7575456796,-73.7843029637,Library,Flushing
1227,BX,Free,NYPL,40.8888948958,-73.8408371279,Library,Bronx
1228,BK,Free,BPL,40.6336257134,-74.0295383519,Library,Brooklyn
1229,BK,Free,BPL,40.6956825552,-73.9913479881,Library,Brooklyn
1230,MN,Free,NYPL,40.7848346367,-73.9774521159,Library,New York
1231,QU,Free,QPL,40.7768170122,-73.9094170178,Library,Long Island City
1232,QU,Free,QPL,40.7508940804,-73.861976844,Library,Corona
1233,BX,Free,NYPL,40.8411050877,-73.8466216551,Library,Bronx
1234,MN,Free,NYPL,40.8657295413,-73.9258533096,Library,New York
1235,BK,Free,BPL,40.6388851668,-73.9890077838,Library,Brooklyn
1236,QU,Free,QPL,40.7408087817,-73.9216691603,Library,Long Island City
1237,QU,Free,QPL,40.7269953701,-73.8931045649,Library,Maspeth
1238,MN,Free,NYPL,40.8137734314,-73.9570639052,Library,New York
1239,MN,Free,NYPL,40.7742029054,-73.9844546501,Library,New York
1240,MN,Free,NYPL,40.8148204092,-73.941197673,Library,New York
1241,QU,Free,QPL,40.7624221297,-73.87386663,Library,East Elmhurst
1242,QU,Free,QPL,40.7351569903,-73.7170989707,Library,Bellerose
1243,BK,Free,BPL,40.6715266559,-73.9086034329,Library,Brooklyn
1244,BK,Free,BPL,40.6611893077,-73.9481022991,Library,Brooklyn
1245,BK,Free,BPL,40.6684865101,-73.9336508496,Library,Brooklyn
1246,QU,Free,QPL,40.7825312039,-73.777008814,Library,Bayside
1247,QU,Free,QPL,40.6925280532,-73.760108788,Library,Saint Albans
1248,MN,Free,NYPL,40.7649150063,-73.9595499458,Library,New York
1249,MN,Free,NYPL,40.7736058206,-73.9564040689,Library,New York
1250,QU,Free,QPL,40.5858394078,-73.8160616201,Library,Rockaway Beach
1251,SI,Free,NYPL,40.5340582999,-74.193236856,Library,Staten Island
