OBJECTID,BORO,TYPE,PROVIDER,LAT,LON,LOCATION_T,CITY
1199,MN,Free,Harlem,40.801294,-73.957722,Outdoor,New York
1200,MN,Free,Harlem,40.803087,-73.942356,Outdoor,New York
1201,MN,Free,Harlem,40.804242,-73.94178,Outdoor,New York
1202,MN,Free,Harlem,40.804958,-73.941374,Outdoor,New York
1203,MN,Free,Harlem,40.805624,-73.942812,Outdoor,New York
1204,MN,Free,Harlem,40.806569,-73.944977,Outdoor,New York
1205,MN,Free,Harlem,40.809576,-73.951689,Outdoor,New York
1206,MN,Free,Harlem,40.807263,-73.946637,Outdoor,New York
1207,MN,Free,Harlem,40.806086,-73.949224,Outdoor,New York
1208,MN,Free,Harlem,40.810601,-73.950577,Outdoor,New York
1209,MN,Free,Harlem,40.810178,-73.948924,Outdoor,New York
1210,MN,Free,Harlem,40.811266,-73.950126,Outdoor,New York
1211,MN,Free,Harlem,40.81026,-73.93951,Outdoor,New York
1212,MN,Free,Harlem,40.806413,-73.940149,Outdoor,New York
1213,MN,Free,Harlem,40.807092,-73.939714,Outdoor,New York
1214,MN,Free,Harlem,40.807594,-73.939065,Outdoor,New York
1215,MN,Free,Harlem,40.815114,-73.941112,Outdoor,New York
1216,MN,Free,Harlem,40.808297,-73.93889,Outdoor,New York
1217,MN,Free,Harlem,40.808224,-73.940778,Outdoor,New York
1218,MN,Free,Harlem,40.810532,-73.943671,Outdoor,New York
1219,MN,Free,Harlem,40.809617,-73.942117,Outdoor,New York
1220,MN,Free,Harlem,40.811198,-73.943866,Outdoor,New York
1221,MN,Free,Harlem,40.812037,-73.946231,Outdoor,New York
1222,MN,Free,Harlem,40.813366,-73.948843,Outdoor,New York
1223,MN,Free,Harlem,40.812628,-73.945444,Outdoor,New York
1224,MN,Free,Harlem,40.812418,-73.944689,Outdoor,New York
1225,MN,Free,Harlem,40.811841,-73.942725,Outdoor,New York
1226,MN,Free,Harlem,40.813986,-73.948359,Outdoor,New York
1227,MN,Free,Harlem,40.814125,-73.946993,Outdoor,New York
1228,MN,Free,Harlem,40.813122,-73.944376,Outdoor,New York
1229,MN,Free,Harlem,40.811835,-73.94135,Outdoor,New York
1230,MN,Free,Harlem,40.810795,-73.938925,Outdoor,New York
1231,MN,Free,Harlem,40.816089,-73.946688,Outdoor,New York
1232,MN,Free,Harlem,40.81393,-73.944955,Outdoor,New York
1233,MN,Free,Harlem,40.815693,-73.947008,Outdoor,New York
1234,MN,Free,Harlem,40.809559,-73.943417,Outdoor,New York
1235,MN,Free,Harlem,40.811575,-73.938453,Outdoor,New York
1236,MN,Free,Harlem,40.812002,-73.936231,Outdoor,New York
1237,MN,Free,Harlem,40.813502,-73.937185,Outdoor,New York
1238,MN,Free,Harlem,40.814205,-73.936726,Outdoor,New York
1239,MN,Free,Harlem,40.816677,-73.946392,Outdoor,New York
1240,MN,Free,Harlem,40.814952,-73.938941,Outdoor,New York
1241,MN,Free,Harlem,40.815803,-73.940812,Outdoor,New York
1242,MN,Free,Harlem,40.811236,-73.936507,Outdoor,New York
1243,MN,Free,Harlem,40.813713,-73.941262,Outdoor,New York
1244,MN,Free,Harlem,40.809357,-73.944461,Outdoor,New York
1245,MN,Free,Harlem,40.813646,-73.940053,Outdoor,New York
1246,MN,Free,Harlem,40.813434,-73.939112,Outdoor,New York
1247,MN,Free,Harlem,40.811138,-73.942846,Outdoor,New York
